ISO.Code,Country.Name,Indicator,Shortind,Sex,Year,Median,Lower,Upper
MMR,Myanmar,Under-five mortality rate,U5MR,Total,2023.5,38.736244713258,23.5127290094535,61.4189976941918
MNE,Montenegro,Under-five mortality rate,U5MR,Total,2023.5,2.58463892235764,2.13899126488525,3.12954626203998
MNG,Mongolia,Under-five mortality rate,U5MR,Total,2023.5,13.6356145768927,13.1011381266036,14.1874410209965
MOZ,Mozambique,Under-five mortality rate,U5MR,Total,2023.5,61.6531059134332,50.1050639786753,76.0578695168718
MRT,Mauritania,Under-five mortality rate,U5MR,Total,2023.5,37.8042752017412,26.9365395020726,53.1434405307459
MSR,Montserrat,Under-five mortality rate,U5MR,Total,2023.5,6.46631322274141,2.503861310395,17.3729762642117
MUS,Mauritius,Under-five mortality rate,U5MR,Total,2023.5,15.1725355359031,13.7451148643817,16.7278742337869
MWI,Malawi,Under-five mortality rate,U5MR,Total,2023.5,38.3400818464631,21.9133611241688,65.2784414187745
MYS,Malaysia,Under-five mortality rate,U5MR,Total,2023.5,8.08012982431047,7.28606577558407,8.95448947702167
NAM,Namibia,Under-five mortality rate,U5MR,Total,2023.5,40.6526915273839,33.0221070909429,54.6933786841615
NER,Niger,Under-five mortality rate,U5MR,Total,2023.5,114.788683114894,88.134168648883,148.004479157843
NGA,Nigeria,Under-five mortality rate,U5MR,Total,2023.5,104.90961558358,72.7419209364722,153.953303094384
NIC,Nicaragua,Under-five mortality rate,U5MR,Total,2023.5,13.4289003492292,12.4337436715943,15.3470569220575
NIU,Niue,Under-five mortality rate,U5MR,Total,2023.5,24.2794606533933,10.3652413230225,56.5722231062322
NLD,Netherlands (Kingdom of the),Under-five mortality rate,U5MR,Total,2023.5,3.95729864744157,3.79089515057027,4.13015813077924
NOR,Norway,Under-five mortality rate,U5MR,Total,2023.5,2.35530985902604,2.13846266645089,2.60162077101481
NPL,Nepal,Under-five mortality rate,U5MR,Total,2023.5,26.4681095576632,21.2894691859144,32.8035476730917
NRU,Nauru,Under-five mortality rate,U5MR,Total,2023.5,8.94159598434076,5.1350725007638,15.8581845706922
NZL,New Zealand,Under-five mortality rate,U5MR,Total,2023.5,4.68398357212464,4.10296374457568,5.3689395118241
OMN,Oman,Under-five mortality rate,U5MR,Total,2023.5,10.4046696015572,9.13975630451973,11.8223175064652
PAK,Pakistan,Under-five mortality rate,U5MR,Total,2023.5,58.4638668795074,47.7581098566053,71.7305392287405
PAN,Panama,Under-five mortality rate,U5MR,Total,2023.5,13.2830678129028,12.502941791001,14.121551153852
PER,Peru,Under-five mortality rate,U5MR,Total,2023.5,15.8050805234684,12.1023873996303,21.0601591221769
PHL,Philippines,Under-five mortality rate,U5MR,Total,2023.5,26.8817712339393,20.5295580111732,35.9349217408359
PLW,Palau,Under-five mortality rate,U5MR,Total,2023.5,22.2983711191982,12.5778619560131,37.3263917314091
PNG,Papua New Guinea,Under-five mortality rate,U5MR,Total,2023.5,40.3056989214673,25.6827021357273,62.6850504884261
